restraunt_id,days_with_test,sum_system_identification_only_showed,avg_system_identification_only_showed,var_system_identification_only_showed,sum_open_auth_count,avg_tap_email_count,sum_tap_sms_count,avg_tap_sms_count,sum_sessions,avg_sessions,var_session,sum_orders,avg_orders,var_orders,sum_auth_orders,avg_auth_orders,var_auth_orders,conversion_rate,auth_conversion_rate,sum_revenue,avg_revenue,avg_product_count
74020973,75,0,0.0,0.0,0,0.0,0,0.0,22107,294.76,1607.4010810810819,16887,225.16,1066.7308108108109,262,3.4933333333333332,3.8479279279279281,0.76387569548106937,0.011851449767042114,7689907.0,102532.09333333332,3.1293805486873785
74020802,75,0,0.0,0.0,0,0.0,0,0.0,18979,253.05333333333331,2900.9160360360365,13445,179.26666666666668,1080.7387387387378,231,3.08,2.6962162162162162,0.70841456346488219,0.012171347278571052,5964293.0,79523.906666666677,3.1000471126389515
74020463,75,0,0.0,0.0,0,0.0,0,0.0,85991,1146.5466666666669,112064.87279279281,48613,648.17333333333329,58022.010090090094,1089,14.52,36.361081081081089,0.56532660394692469,0.012664116012140805,24591991.0,327893.21333333338,3.4246225574187643
74220934,75,0,0.0,0.0,0,0.0,0,0.0,14367,191.56000000000006,1088.168648648649,10674,142.32,852.30162162162185,245,3.2666666666666675,4.1981981981981988,0.74295259970766336,0.017052968608616971,6124871.0,81664.94666666667,3.9213414872210723
74021104,75,0,0.0,0.0,0,0.0,0,0.0,49831,664.4133333333333,6251.2998198198129,38715,516.2,5899.7027027027016,340,4.5333333333333332,3.900900900900901,0.77692600991350769,0.0068230619493889347,17920454.0,238939.38666666666,3.2827934142403521
74021325,75,0,0.0,0.0,0,0.0,0,0.0,23466,312.88,3135.1340540540527,18833,251.10666666666665,2196.0154954954965,330,4.4,5.45945945945946,0.80256541379016444,0.014062899514190744,8303430.0,110712.40000000001,2.9448515042304035
74220766,75,0,0.0,0.0,0,0.0,0,0.0,48701,649.34666666666669,19725.851171171176,37890,505.19999999999993,13624.189189189181,613,8.1733333333333338,12.739819819819822,0.77801277181166706,0.012587010533664606,15429063.0,205720.84,2.6171549818750131
74021559,75,0,0.0,0.0,0,0.0,0,0.0,57671,768.94666666666672,33150.726846846839,45049,600.65333333333342,24290.418738738739,1021,13.613333333333333,36.13225225225225,0.78113783357319966,0.017703871963378474,18222803.0,242970.70666666669,2.8465652136902886
74021160,62,0,0.0,0.0,0,0.0,0,0.0,25393,409.56451612903226,8399.8564251718672,19700,317.741935483871,5595.5060814383914,375,6.0483870967741939,7.5549973558963526,0.77580435553105187,0.014767849407316977,8931414.0,144055.06451612903,3.1092574190441455
74020588,75,0,0.0,0.0,0,0.0,0,0.0,88979,1186.3866666666665,32893.402522522505,74013,986.84,30581.487567567568,858,11.44,12.438918918918922,0.83180300969891774,0.0096427246878476938,28732354.0,383098.05333333334,2.5842455363863266
74021462,73,0,0.0,0.0,0,0.0,0,0.0,9749,133.54794520547944,1254.3344748858447,6927,94.890410958904113,789.40449010654481,125,1.7123287671232876,1.9299847792998479,0.71053441378602933,0.012821827879782541,3572146.0,48933.506849315068,3.4773865216869675
74020494,75,0,0.0,0.0,0,0.0,0,0.0,62206,829.41333333333341,146784.92144144143,9483,126.44,3192.7091891891891,66,0.87999999999999989,0.97189189189189173,0.15244510175867279,0.0010609909011992413,4777143.0,63695.240000000005,3.278089616656656
74021238,75,0,0.0,0.0,0,0.0,0,0.0,43688,582.50666666666666,10869.874954954963,32420,432.26666666666671,7749.4144144144138,351,4.68,7.8151351351351339,0.74208020509064276,0.0080342428126716717,15959247.0,212789.96,3.2697475871296606
74021601,75,0,0.0,0.0,0,0.0,0,0.0,48680,649.06666666666672,14684.414414414421,35652,475.36,11547.503783783784,565,7.5333333333333341,13.495495495495494,0.7323746918652424,0.011606409202958093,23819738.0,317596.50666666665,4.149663693092454
74021394,75,0,0.0,0.0,0,0.0,0,0.0,31190,415.86666666666667,7099.25225225225,22392,298.56,5152.7632432432447,246,3.28,3.4745945945945946,0.717922411029176,0.0078871433151651172,16860617.0,224808.22666666665,4.4115065985694715
74021098,75,0,0.0,0.0,0,0.0,0,0.0,67118,894.90666666666664,26271.166846846849,36290,483.86666666666667,8829.8468468468454,604,8.0533333333333328,9.02414414414414,0.54068953186924518,0.00899907625376203,15896929.0,211959.05333333337,3.0822355973662687
74021385,75,0,0.0,0.0,0,0.0,0,0.0,55616,741.54666666666674,15432.980900900899,35179,469.05333333333328,9070.6187387387326,410,5.4666666666666659,6.4954954954954953,0.6325338032220944,0.0073719792865362486,17602652.0,234702.02666666667,3.541217628628635
74020816,75,0,0.0,0.0,0,0.0,0,0.0,56913,758.84,10254.136216216219,44480,593.06666666666661,5444.6306306306305,678,9.0400000000000009,10.876756756756757,0.78154375977368962,0.011912919719571978,16538439.0,220512.52,2.6003116799312567
74021377,75,0,0.0,0.0,0,0.0,0,0.0,23611,314.81333333333333,1985.3971171171154,18346,244.61333333333334,1812.3484684684684,222,2.96,3.0659459459459462,0.7770107153445428,0.0094023971877514722,8145966.0,108612.88,2.9857234073380212
74220935,75,0,0.0,0.0,0,0.0,0,0.0,66388,885.1733333333334,52056.064144144148,51432,685.75999999999988,36973.779459459452,722,9.6266666666666669,18.020900900900894,0.77471832258841955,0.010875459420377176,20818933.0,277585.77333333332,2.7713031602355156
74214453,75,0,0.0,0.0,0,0.0,0,0.0,53876,718.34666666666669,20270.932252252245,38271,510.28,12824.961081081086,372,4.96,6.2821621621621615,0.71035340411314873,0.006904744227485337,20512062.0,273494.16000000003,3.4237772296815492
74021926,75,0,0.0,0.0,0,0.0,0,0.0,36550,487.33333333333337,23104.792792792807,21117,281.56,2976.4929729729733,252,3.36,3.99027027027027,0.57775649794801642,0.006894664842681259,7492268.0,99896.906666666662,2.7968936253291008
74321629,75,0,0.0,0.0,0,0.0,0,0.0,28721,382.94666666666666,4658.5106306306316,21792,290.56,2985.0064864864867,502,6.6933333333333325,8.837117117117117,0.75874795445841026,0.017478500052226592,10529738.0,140396.50666666668,3.5125094205196032
74321913,73,0,0.0,0.0,0,0.0,0,0.0,19163,262.50684931506851,8754.5034246575342,14189,194.36986301369862,5356.4307458143076,132,1.8082191780821915,3.0738203957382035,0.74043730104889627,0.0068882742785576368,6080805.0,83298.698630136991,2.9783619369940455
74021183,75,0,0.0,0.0,0,0.0,0,0.0,20656,275.4133333333333,3025.6241441441439,15910,212.13333333333333,1928.0090090090093,336,4.48,4.6043243243243239,0.77023625096824166,0.016266460108443067,7572549.0,100967.31999999999,3.2154412466349847
